id;latitude;longitude;some features;labels
0;100;200;Large;1
1;50;23;Large;1
2;25;43;Medium;1
3;30;600;Medium;1
4;10;4534;Medium;1
5;1;343;Small;1
6;98;42;Small;1
7;989;32;Small;1
8;4;22;Very Small;1
9;357.7222222;570.1111111;Large;1
10;400.2222222;554.3777778;Large;1
11;442.7222222;538.6444444;Medium;1
12;485.2222222;522.9111111;Medium;1
13;527.7222222;507.1777778;Medium;1
14;570.2222222;491.4444444;Small;1
15;612.7222222;475.7111111;Small;1
16;655.2222222;459.9777778;Small;1
17;697.7222222;444.2444444;Very Small;1
18;740.2222222;428.5111111;Large;1
19;782.7222222;412.7777778;Large;1
20;825.2222222;397.0444444;Medium;1
21;867.7222222;381.3111111;Medium;1
22;910.2222222;365.5777778;Medium;1
23;952.7222222;349.8444444;Large;1
24;995.2222222;334.1111111;Large;1
25;1037.722222;318.3777778;Medium;1
26;1080.222222;302.6444444;Medium;1
27;1122.722222;286.9111111;Medium;1
28;1165.222222;271.1777778;Small;1
29;1207.722222;255.4444444;Small;1
30;1250.222222;239.7111111;Small;1
31;1292.722222;223.9777778;Very Small;1
32;1335.222222;208.2444444;Large;1
33;1377.722222;192.5111111;Large;1
34;1420.222222;176.7777778;Medium;1
35;1462.722222;161.0444444;Medium;1
36;1505.222222;145.3111111;Medium;1
37;1547.722222;129.5777778;Small;1
38;1590.222222;113.8444444;Small;1
39;1632.722222;98.11111111;Small;1
40;1675.222222;82.37777778;Very Small;1
41;1717.722222;66.64444444;Large;1
42;1760.222222;50.91111111;Large;1
43;1802.722222;35.17777778;Medium;1
44;1845.222222;19.44444444;Medium;1
45;1887.722222;3.711111111;Medium;1
46;1930.222222;-12.02222222;Large;1
47;1972.722222;-27.75555556;Large;1
48;2015.222222;-43.48888889;Medium;1
49;2057.722222;-59.22222222;Medium;1
50;2100.222222;-74.95555556;Medium;1
51;2142.722222;-90.68888889;Small;1
52;2185.222222;-106.4222222;Small;1
53;2227.722222;-122.1555556;Small;1
54;2270.222222;-137.8888889;Very Small;1
55;2312.722222;-153.6222222;Large;1
56;2355.222222;-169.3555556;Large;1
57;2397.722222;-185.0888889;Medium;1
58;2440.222222;-200.8222222;Medium;0
59;2482.722222;-216.5555556;Medium;0
60;2525.222222;-232.2888889;Small;0
61;2567.722222;-248.0222222;Small;0
62;2610.222222;-263.7555556;Small;0
63;2652.722222;-279.4888889;Very Small;0
64;2695.222222;-295.2222222;Large;0
65;2737.722222;-310.9555556;Large;0
66;2780.222222;-326.6888889;Medium;0
67;2822.722222;-342.4222222;Medium;0
68;2865.222222;-358.1555556;Medium;0
69;2907.722222;-373.8888889;Large;0
70;2950.222222;-389.6222222;Large;0
71;2992.722222;-405.3555556;Medium;0
72;3035.222222;-421.0888889;Medium;0
73;3077.722222;-436.8222222;Medium;0
74;3120.222222;-452.5555556;Small;0
75;3162.722222;-468.2888889;Small;0
76;3205.222222;-484.0222222;Small;0
77;3247.722222;-499.7555556;Very Small;0
78;3290.222222;-515.4888889;Large;0
79;3332.722222;-531.2222222;Large;0
80;3375.222222;-546.9555556;Medium;0
81;3417.722222;-562.6888889;Medium;0
82;3460.222222;-578.4222222;Medium;0
83;3502.722222;-594.1555556;Small;0
84;3545.222222;-609.8888889;Small;0
85;3587.722222;-625.6222222;Small;0
86;3630.222222;-641.3555556;Very Small;0
87;3672.722222;-657.0888889;Large;1
