dataset,metric,test or train,model,value
H-H emb + Raw (with lat & long),RMSE,Test,LinReg,"0,2280"
H-H emb + Raw (with lat & long),MAE,Test,LinReg,"0,1718"
H-H emb + Raw (with lat & long),MAPE,Test,LinReg,"0,0131"
H-H emb + Raw (with lat & long),RMSE,Test,XGB,"0,1583"
H-H emb + Raw (with lat & long),MAE,Test,XGB,"0,1124"
H-H emb + Raw (with lat & long),MAPE,Test,XGB,"0,0086"
H-H emb + Raw (with lat & long),RMSE,Test,RandomForest,"0,1728"
H-H emb + Raw (with lat & long),MAE,Test,RandomForest,"0,1243"
H-H emb + Raw (with lat & long),MAPE,Test,RandomForest,"0,0095"
H-H emb + Raw (with lat & long),RMSE,Train,LinReg,"0,2349"
H-H emb + Raw (with lat & long),MAE,Train,LinReg,"0,1796"
H-H emb + Raw (with lat & long),MAPE,Train,LinReg,"0,0138"
H-H emb + Raw (with lat & long),RMSE,Train,XGB,"0,0878"
H-H emb + Raw (with lat & long),MAE,Train,XGB,"0,0648"
H-H emb + Raw (with lat & long),MAPE,Train,XGB,"0,0050"
H-H emb + Raw (with lat & long),RMSE,Train,RandomForest,"0,0870"
H-H emb + Raw (with lat & long),MAE,Train,RandomForest,"0,0644"
H-H emb + Raw (with lat & long),MAPE,Train,RandomForest,"0,0050"
H-H emb + Raw,RMSE,Test,LinReg,"0,2758"
H-H emb + Raw,MAE,Test,LinReg,"0,2165"
H-H emb + Raw,MAPE,Test,LinReg,"0,0166"
H-H emb + Raw,RMSE,Test,XGB,"0,2716"
H-H emb + Raw,MAE,Test,XGB,"0,2113"
H-H emb + Raw,MAPE,Test,XGB,"0,0162"
H-H emb + Raw,RMSE,Test,RandomForest,"0,2736"
H-H emb + Raw,MAE,Test,RandomForest,"0,2145"
H-H emb + Raw,MAPE,Test,RandomForest,"0,0164"
H-H emb + Raw,RMSE,Train,LinReg,"0,2890"
H-H emb + Raw,MAE,Train,LinReg,"0,2293"
H-H emb + Raw,MAPE,Train,LinReg,"0,0177"
H-H emb + Raw,RMSE,Train,XGB,"0,1567"
H-H emb + Raw,MAE,Train,XGB,"0,1209"
H-H emb + Raw,MAPE,Train,XGB,"0,0093"
H-H emb + Raw,RMSE,Train,RandomForest,"0,1510"
H-H emb + Raw,MAE,Train,RandomForest,"0,1193"
H-H emb + Raw,MAPE,Train,RandomForest,"0,0092"
Raw Base,RMSE,Test,LinReg,"0,3072"
Raw Base,MAE,Test,LinReg,"0,2422"
Raw Base,MAPE,Test,LinReg,"0,0186"
Raw Base,RMSE,Test,XGB,"0,2800"
Raw Base,MAE,Test,XGB,"0,2168"
Raw Base,MAPE,Test,XGB,"0,0167"
Raw Base,RMSE,Test,RandomForest,"0,2855"
Raw Base,MAE,Test,RandomForest,"0,2255"
Raw Base,MAPE,Test,RandomForest,"0,0171"
Raw Base,RMSE,Train,LinReg,"0,3097"
Raw Base,MAE,Train,LinReg,"0,2471"
Raw Base,MAPE,Train,LinReg,"0,0190"
Raw Base,RMSE,Train,XGB,"0,1862"
Raw Base,MAE,Train,XGB,"0,1425"
Raw Base,MAPE,Train,XGB,"0,0110"
Raw Base,RMSE,Train,RandomForest,"0,2242"
Raw Base,MAE,Train,RandomForest,"0,1785"
Raw Base,MAPE,Train,RandomForest,"0,0138"
Raw Base (with lat & long),RMSE,Test,LinReg,"0,2538"
Raw Base (with lat & long),MAE,Test,LinReg,"0,1958"
Raw Base (with lat & long),MAPE,Test,LinReg,"0,0150"
Raw Base (with lat & long),RMSE,Test,XGB,"0,1625"
Raw Base (with lat & long),MAE,Test,XGB,"0,1150"
Raw Base (with lat & long),MAPE,Test,XGB,"0,0088"
Raw Base (with lat & long),RMSE,Test,RandomForest,"0,1783"
Raw Base (with lat & long),MAE,Test,RandomForest,"0,1291"
Raw Base (with lat & long),MAPE,Test,RandomForest,"0,0099"
Raw Base (with lat & long),RMSE,Train,LinReg,"0,2504"
Raw Base (with lat & long),MAE,Train,LinReg,"0,1935"
Raw Base (with lat & long),MAPE,Train,LinReg,"0,0148"
Raw Base (with lat & long),RMSE,Train,XGB,"0,0980"
Raw Base (with lat & long),MAE,Train,XGB,"0,0710"
Raw Base (with lat & long),MAPE,Train,XGB,"0,0055"
Raw Base (with lat & long),RMSE,Train,RandomForest,"0,1276"
Raw Base (with lat & long),MAE,Train,RandomForest,"0,0958"
Raw Base (with lat & long),MAPE,Train,RandomForest,"0,0074"
