dataset,metric,test or train,model,value
H-S emb + Raw (with lat & long),RMSE,Test,LinReg,"0,2366"
H-S emb + Raw (with lat & long),MAE,Test,LinReg,"0,1788"
H-S emb + Raw (with lat & long),MAPE,Test,LinReg,"0,0136"
H-S emb + Raw (with lat & long),RMSE,Test,XGB,"0,1579"
H-S emb + Raw (with lat & long),MAE,Test,XGB,"0,1133"
H-S emb + Raw (with lat & long),MAPE,Test,XGB,"0,0087"
H-S emb + Raw (with lat & long),RMSE,Test,RandomForest,"0,1740"
H-S emb + Raw (with lat & long),MAE,Test,RandomForest,"0,1257"
H-S emb + Raw (with lat & long),MAPE,Test,RandomForest,"0,0096"
H-S emb + Raw (with lat & long),RMSE,Train,LinReg,"0,2374"
H-S emb + Raw (with lat & long),MAE,Train,LinReg,"0,1818"
H-S emb + Raw (with lat & long),MAPE,Train,LinReg,"0,0139"
H-S emb + Raw (with lat & long),RMSE,Train,XGB,"0,0871"
H-S emb + Raw (with lat & long),MAE,Train,XGB,"0,0639"
H-S emb + Raw (with lat & long),MAPE,Train,XGB,"0,0049"
H-S emb + Raw (with lat & long),RMSE,Train,RandomForest,"0,0871"
H-S emb + Raw (with lat & long),MAE,Train,RandomForest,"0,0643"
H-S emb + Raw (with lat & long),MAPE,Train,RandomForest,"0,0049"
H-S emb + Raw,RMSE,Test,LinReg,"0,2818"
H-S emb + Raw,MAE,Test,LinReg,"0,2224"
H-S emb + Raw,MAPE,Test,LinReg,"0,0170"
H-S emb + Raw,RMSE,Test,XGB,"0,2746"
H-S emb + Raw,MAE,Test,XGB,"0,2150"
H-S emb + Raw,MAPE,Test,XGB,"0,0164"
H-S emb + Raw,RMSE,Test,RandomForest,"0,2730"
H-S emb + Raw,MAE,Test,RandomForest,"0,2135"
H-S emb + Raw,MAPE,Test,RandomForest,"0,0163"
H-S emb + Raw,RMSE,Train,LinReg,"0,2882"
H-S emb + Raw,MAE,Train,LinReg,"0,2283"
H-S emb + Raw,MAPE,Train,LinReg,"0,0176"
H-S emb + Raw,RMSE,Train,XGB,"0,1576"
H-S emb + Raw,MAE,Train,XGB,"0,1200"
H-S emb + Raw,MAPE,Train,XGB,"0,0093"
H-S emb + Raw,RMSE,Train,RandomForest,"0,1538"
H-S emb + Raw,MAE,Train,RandomForest,"0,1209"
H-S emb + Raw,MAPE,Train,RandomForest,"0,0093"
Raw Base,RMSE,Test,LinReg,"0,3072"
Raw Base,MAE,Test,LinReg,"0,2422"
Raw Base,MAPE,Test,LinReg,"0,0186"
Raw Base,RMSE,Test,XGB,"0,2800"
Raw Base,MAE,Test,XGB,"0,2168"
Raw Base,MAPE,Test,XGB,"0,0167"
Raw Base,RMSE,Test,RandomForest,"0,2855"
Raw Base,MAE,Test,RandomForest,"0,2255"
Raw Base,MAPE,Test,RandomForest,"0,0171"
Raw Base,RMSE,Train,LinReg,"0,3097"
Raw Base,MAE,Train,LinReg,"0,2471"
Raw Base,MAPE,Train,LinReg,"0,0190"
Raw Base,RMSE,Train,XGB,"0,1862"
Raw Base,MAE,Train,XGB,"0,1425"
Raw Base,MAPE,Train,XGB,"0,0110"
Raw Base,RMSE,Train,RandomForest,"0,2242"
Raw Base,MAE,Train,RandomForest,"0,1785"
Raw Base,MAPE,Train,RandomForest,"0,0138"
Raw Base (with lat & long),RMSE,Test,LinReg,"0,2538"
Raw Base (with lat & long),MAE,Test,LinReg,"0,1958"
Raw Base (with lat & long),MAPE,Test,LinReg,"0,0150"
Raw Base (with lat & long),RMSE,Test,XGB,"0,1625"
Raw Base (with lat & long),MAE,Test,XGB,"0,1150"
Raw Base (with lat & long),MAPE,Test,XGB,"0,0088"
Raw Base (with lat & long),RMSE,Test,RandomForest,"0,1783"
Raw Base (with lat & long),MAE,Test,RandomForest,"0,1291"
Raw Base (with lat & long),MAPE,Test,RandomForest,"0,0099"
Raw Base (with lat & long),RMSE,Train,LinReg,"0,2504"
Raw Base (with lat & long),MAE,Train,LinReg,"0,1935"
Raw Base (with lat & long),MAPE,Train,LinReg,"0,0148"
Raw Base (with lat & long),RMSE,Train,XGB,"0,0980"
Raw Base (with lat & long),MAE,Train,XGB,"0,0710"
Raw Base (with lat & long),MAPE,Train,XGB,"0,0055"
Raw Base (with lat & long),RMSE,Train,RandomForest,"0,1276"
Raw Base (with lat & long),MAE,Train,RandomForest,"0,0958"
Raw Base (with lat & long),MAPE,Train,RandomForest,"0,0074"
