X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,FEATUREDES,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,OSPI_CODE,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR
-122.19007102711,47.2584056585833,1,10000066,1340665,660,School-Elementary,Bowman Creek Elementary School,Bowman Creek,5701 Kersey Way SE,98092,-122.19007459,47.25840358,0,10,AUBURN,3221059058,322105,9058
-122.176312401483,47.6108531508654,2,10000076,1258412,660,School-Elementary,Wilburton Elementary,Wilburton,12300 Main St,98005,-122.17631408,47.61085106,0,10,BELLEVUE,3325059019,332505,9019
-122.299210994755,47.4773548646975,3,10000077,751890,661,School-Junior High/Middle,Glacier Middle School,Glacier,2450 S 142nd St,98168,-122.29921334,47.47735298,0,10,HIGHLINE,3598600006,359860,0006
-122.170580339912,47.6040329301647,4,2156,83,664,School-Alternative,International School,International,445 128th Ave SE,98005,-122.17058205,47.60403083,3522,10,BELLEVUE,3325059117,332505,9117
-122.284831303566,47.6340777018024,5,940,426089,660,School-Elementary,McGilvra Elementary School,McGilvra,1617 38th Ave E,98112,-122.28483293,47.63407582,2201,10,SEATTLE,5318100820,531810,0820
-122.355957888388,47.4581331977538,6,1247,130,660,School-Elementary,Gregory Heights Elementary School,Heights,16201 16th Ave SW,98166,-122.35596034,47.45813139,2844,10,HIGHLINE,2523039001,252303,9001
-122.17330888912,47.6621374099151,7,451,8638,660,School-Elementary,Ben Franklin Elementary School,Franklin,12434 NE 60th St,98033,-122.17331033,47.66213533,0,10,LAKE WASHINGTON,0925059028,092505,9028
-122.171783937428,47.3786609198297,8,401,670208,660,School-Elementary,Martin Sortun Elementary School,Sortun ,12711 SE 248th St,98030,-122.17178682,47.37865879,4294,10,KENT,2122059018,212205,9018
-122.230642267828,47.7167862154918,9,499,8618,660,School-Elementary,Carl Sandburg Elementary School,Sandburg,12801 84th Ave NE,98034,-122.23064351,47.71678424,0,10,LAKE WASHINGTON,3840700025,384070,0025
-122.396358683488,47.6776990912226,10,2148,269619,664,School-Alternative,Licton Springs K-8 School,Licton Springs,3015 NW 68th St,98117,-122.39636012,47.67769743,0,10,SEATTLE,3693901110,369390,1110
-122.158334830057,47.5735437213245,11,189,96,661,School-Junior High/Middle,Tyee Middle School,Tyee,13630 SE Allen Rd,98006,-122.15833667,47.57354158,3283,10,BELLEVUE,1524059005,152405,9005
-122.19569149857,47.7248124738283,12,504,165571,660,School-Elementary,Keller Elementary School,Keller,13820 108th Ave NE,98034,-122.19569268,47.72481045,0,10,LAKE WASHINGTON,2026059105,202605,9105
-122.331977342847,47.4780743148139,13,1278,151,662,School-High,Kennedy Catholic High School,Kennedy Catholic,140 S 140th St,98168,-122.33197969,47.47807247,0,20,HIGHLINE,1723049528,172304,9528
-122.326753040283,47.7327026025995,14,1090,250279,662,School-High,Lakeside High School,Lakeside High,14050 1st Ave NE,98125,-122.32675423,47.73270082,0,20,SEATTLE,2832100190,283210,0190
-122.151785597513,47.5629209773968,15,185,99,660,School-Elementary,Somerset Elementary School,Somerset,14100 Somerset Blvd SE,98006,-122.15178749,47.56291882,3789,10,BELLEVUE,1524059091,152405,9091
-122.164941001228,47.7273033822192,16,509,21187,661,School-Junior High/Middle,Kamiakin Middle School,Kamiakin,14111 132nd Ave NE,98034,-122.16494214,47.72730131,3922,10,LAKE WASHINGTON,2126059123,212605,9123
-121.992150772556,47.2043644762563,17,6600670,393851,663,School-College or University,Green River College - Enumclaw Campus,GRC,1414 Griffin Ave,98022,-121.99215308,47.2043628,0,10,ENUMCLAW,2420069046,242006,9046
-122.325944049027,47.6133923400223,18,1071,438964,664,School-Alternative,The Northwest School,Northwest,1415 Summit Ave,98122,-122.32594577,47.61339052,0,20,SEATTLE,8804901000,880490,1000
-122.354112295858,47.320160437133,19,323,2374,661,School-Junior High/Middle,Lakota Middle School,Lakota,1415 SW 314th St,98023,-122.35411552,47.32015869,3381,10,FEDERAL WAY,0721049143,072104,9143
-122.37544343783,47.6767067728877,20,1005,318188,662,School-High,Ballard High School,Ballard,1418 NW 65th St,98117,-122.37544487,47.67670507,2220,10,SEATTLE,3050700050,305070,0050
-122.151830997906,47.5995987594652,21,6600592,86,664,School-Alternative,Jubilee REACH,Jubilee REACH,14200 SE 13th Pl,98007,-122.15183272,47.59959662,0,10,BELLEVUE,2207100005,220710,0005
-122.24899842661,47.2709904716374,22,599,12130,660,School-Elementary,Alpac Elementary School,Alpac,310 Milwaukee Blvd N,98047,-122.24900192,47.27098853,3825,10,AUBURN,3621049006,362104,9006
-122.18328990982,47.7669042002545,23,6600105,176556,666,School-K-12,Woodinville Montessori School - Main Campus,Woodinville Montessori,19102 North Creek Pkwy,98011,-122.18329088,47.76690224,0,20,NORTHSHORE,6979200320,697920,0320
-121.875816552132,47.5324933801698,24,6600676,195119,660,School-Elementary,Cascade View Elementary School,Cascade View,34816 SE Ridge St,98065,-121.87581831,47.53249075,5015,10,SNOQUALMIE VALLEY,2624079047,262407,9047
-122.335943071953,47.2774937472091,25,87,2395,661,School-Junior High/Middle,Illahee Middle School,Illahee,36001 1st Ave S,98003,-122.33594653,47.27749198,3898,10,FEDERAL WAY,3021049013,302104,9013
-122.348970768888,47.637963582534,26,6600128,414769,664,School-Alternative,Queen Anne Elementary School,Queen Anne,2100 4th Ave N,98109,-122.34897238,47.63796181,0,10,SEATTLE,0809003050,080900,3050
-122.280706254838,47.3268072387011,27,11,21,660,School-Elementary,Lake Dolloff Elementary School,Lake Dolloff,4200 S 308th St,98001,-122.28070944,47.32680535,3738,10,FEDERAL WAY,1021049002,102104,9002
-122.171791104241,47.5677213486466,28,182,98,662,School-High,Newport High School,Newport,4333 Factoria Blvd SE,98006,-122.17179298,47.56771924,3486,10,BELLEVUE,1624059023,162405,9023
-122.33978474963,47.6648201188411,29,6600649,841015,664,School-Alternative,Seattle Waldorf School - Kinderhaus Campus,Waldorf Kindergarten,4919 Woodlawn Ave N,98103,-122.33978624,47.66481834,0,20,SEATTLE,6865200005,686520,0005
